Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population,Name
Mumbai,6515.08,2012,51920,Petrol,Manual,First,5.0,16.8,1497.0,116.3,Honda,Japan,Asia,c2,20961,Honda City Corporate Edition
Hyderabad,6515.08,2012,54000,Diesel,Manual,First,5.0,23.08,1461.0,63.1,Nissan,Japan,Asia,c2,10534,Nissan Micra Diesel XV
Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,5.0,20.92,998.0,67.1,Maruti,India,Asia,c1,10534,Maruti Alto K10 2010-2014 VXI
Kochi,15176.3,2018,37430,Petrol,Manual,First,5.0,17.5,1199.0,88.7,Honda,Japan,Asia,c3,3301,Honda WRV i-VTEC VX
Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,7.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c2,20961,Toyota Innova 2.5 V Diesel 7-seater
Bangalore,11880.44,2013,62000,Diesel,Manual,First,5.0,19.01,1461.0,108.45,Renault,France,Europe,c3,13193,Renault Duster 110PS Diesel RxZ Pack
Delhi,10347.48,2012,87615,Petrol,Manual,First,5.0,14.53,1798.0,138.1,Toyota,Japan,Asia,c3,32066,Toyota Corolla Altis G
Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,7.0,11.18,2696.0,184.0,Mahindra,India,Asia,c4,13193,Mahindra Ssangyong Rexton RX7
Kolkata,17629.04,2010,35000,Diesel,Automatic,First,5.0,12.4,2698.0,179.5,Audi,Germany,Europe,c4,15134,Audi A6 2.7 TDI
Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,5.0,16.09,1598.0,103.5,Volkswagen,Germany,Europe,c3,2935,Volkswagen Vento 1.6 Highline
Jaipur,2835.98,2009,83816,Petrol,Manual,Second,5.0,14.0,1061.0,64.0,Maruti,India,Asia,c1,4107,Maruti Wagon R LXI BSIII
Kochi,13229.44,2018,50075,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,3301,Maruti Vitara Brezza ZDi Plus
Delhi,7434.86,2017,52000,Petrol,Manual,First,5.0,18.15,1198.0,82.0,Mahindra,India,Asia,c2,32066,Mahindra KUV 100 mFALCON G80 K6 5str AW
Pune,42922.88,2013,85000,Diesel,Automatic,First,5.0,11.74,2987.0,254.8,Mercedes-Benz,Germany,Europe,c5,6987,Mercedes-Benz M-Class ML 350 CDI
Chennai,7664.8,2013,62000,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c2,11503,Volkswagen Polo Diesel Trendline 1.2L
Delhi,1916.2,2008,90000,Petrol,Manual,Second,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,32066,Maruti Alto LXi
Kochi,2345.43,2014,19698,Petrol,Manual,First,4.0,25.4,624.0,37.5,Tata,India,Asia,c1,3301,Tata Nano LX SE
Coimbatore,8553.92,2017,22033,Diesel,Manual,First,6.0,25.32,1198.0,77.0,Mahindra,India,Asia,c2,2935,Mahindra KUV 100 mFALCON D75 K8 Dual Tone
Kochi,7266.23,2014,35487,Petrol,Manual,First,5.0,18.5,1197.0,82.9,Hyundai,Korea,Asia,c2,3301,Hyundai i20 Magna Optional 1.2
Bangalore,13566.7,2014,46374,Petrol,Automatic,First,5.0,14.62,1999.0,149.92,Hyundai,Korea,Asia,c3,13193,Hyundai Elantra 2.0 SX Option AT
Mumbai,15498.23,2016,52001,Petrol,Automatic,First,5.0,14.28,1798.0,138.03,Toyota,Japan,Asia,c3,20961,Toyota Corolla Altis G AT
Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,5.0,14.9,1991.0,112.2,Hyundai,Korea,Asia,c2,8450,Hyundai Elantra CRDi
Bangalore,16785.91,2012,70704,Petrol,Manual,First,7.0,11.25,2694.0,163.7,Toyota,Japan,Asia,c4,13193,Toyota Innova Crysta 2.7 GX MT
Jaipur,5901.9,2014,75000,Diesel,Manual,First,5.0,24.4,1120.0,71.0,Hyundai,Korea,Asia,c2,4107,Hyundai Xcent 1.1 CRDi S
Jaipur,8431.28,2012,75800,Diesel,Manual,Second,6.0,16.55,2498.0,105.0,Mahindra,India,Asia,c2,4107,Mahindra Thar CRDe AC
Kochi,32851.33,2015,13648,Diesel,Automatic,First,5.0,17.11,1968.0,174.33,Audi,Germany,Europe,c5,3301,Audi A4 2.0 TDI 177 Bhp Premium Plus
Delhi,6515.08,2014,52000,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c2,32066,Maruti Swift LDI
Kolkata,5058.77,2014,53000,Diesel,Manual,First,5.0,17.8,1248.0,75.0,Maruti,India,Asia,c1,15134,Maruti Swift Ldi BSIV
Delhi,5901.9,2013,65650,Diesel,Manual,First,5.0,28.4,1248.0,74.0,Maruti,India,Asia,c2,32066,Maruti Swift VDI
Chennai,5518.66,2015,54000,Petrol,Manual,Third,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c2,11503,Hyundai Grand i10 Sportz
Kolkata,6116.51,2015,39000,Petrol,Manual,First,5.0,15.04,1598.0,103.2,Volkswagen,Germany,Europe,c2,15134,Volkswagen Vento 2013-2015 1.6 Comfortline
Kochi,5058.77,2017,16542,Petrol,Manual,First,5.0,25.17,799.0,53.3,Renault,France,Europe,c1,3301,Renault KWID RXT
Kolkata,3173.23,2010,32000,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,15134,Hyundai i10 Asta
Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,5.0,13.29,1995.0,147.6,Nissan,Japan,Asia,c3,10534,Nissan X-Trail SLX AT
Hyderabad,3449.16,2010,39300,Petrol,Manual,First,5.0,18.2,998.0,67.1,Maruti,India,Asia,c1,10534,Maruti Zen Estilo VXI BSIII
Mumbai,25293.84,2017,22000,Diesel,Manual,First,8.0,13.68,2393.0,147.8,Toyota,Japan,Asia,c4,20961,Toyota Innova Crysta 2.4 GX MT 8S
Bangalore,4215.64,2010,72000,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,13193,Ford Figo Diesel Titanium
Delhi,40930.03,2015,58000,Petrol,Automatic,First,5.0,11.74,1796.0,186.0,Mercedes-Benz,Germany,Europe,c5,32066,Mercedes-Benz New C-Class C 200 CGI Avantgarde
Pune,15329.6,2011,65000,Diesel,Manual,Second,5.0,15.8,2148.0,170.0,Mercedes-Benz,Germany,Europe,c3,6987,Mercedes-Benz New C-Class 200 CDI Classic
Chennai,3832.4,2016,178000,Diesel,Manual,First,5.0,25.0,1396.0,69.0,Tata,India,Asia,c1,11503,Tata Indica V2 eLS
Jaipur,20694.96,2012,65664,Diesel,Automatic,First,5.0,16.55,1968.0,140.0,Audi,Germany,Europe,c4,4107,Audi A4 2.0 TDI Multitronic
Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,5.0,16.4,1497.0,78.0,Honda,Japan,Asia,c1,20961,Honda City ZX CVT
Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,5.0,23.0,1950.0,194.0,Mercedes-Benz,Germany,Europe,c5,2935,Mercedes-Benz C-Class Progressive C 220d
Pune,12493.62,2016,63000,Diesel,Manual,First,7.0,24.52,1248.0,88.5,Maruti,India,Asia,c3,6987,Maruti Ertiga SHVS VDI
Mumbai,16096.08,2018,13000,Diesel,Manual,First,5.0,22.1,1396.0,88.7,Hyundai,Korea,Asia,c4,20961,Hyundai Creta 1.4 E Plus Diesel
Mumbai,22227.92,2008,73000,Petrol,Automatic,First,5.0,8.5,4806.0,500.0,Porsche,Germany,Europe,c4,20961,Porsche Cayenne 2009-2014 Turbo
Mumbai,14793.06,2015,55729,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,20961,Mahindra XUV500 W8 4WD
Kochi,5334.7,2012,45178,Petrol,Automatic,First,5.0,16.95,1197.0,78.9,Hyundai,Korea,Asia,c1,3301,Hyundai i10 Sportz 1.2 AT
Kochi,10608.08,2015,56066,Diesel,Manual,First,5.0,19.64,1461.0,108.5,Nissan,Japan,Asia,c3,3301,Nissan Terrano XV D Pre
Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,5.0,16.5,1198.0,86.8,Honda,Japan,Asia,c3,2935,Honda Brio VX AT
Delhi,45222.32,2014,56000,Diesel,Automatic,Second,5.0,18.53,1968.0,187.74,Audi,Germany,Europe,c5,32066,Audi A6 2.0 TDI Design Edition
Jaipur,3065.92,2008,111111,Diesel,Manual,First,5.0,17.8,1399.0,67.04,Ford,USA,America,c1,4107,Ford Fiesta 1.4 SXi TDCi
Chennai,6898.32,2006,230000,Petrol,Manual,Third,8.0,12.4,1998.0,132.0,Toyota,Japan,Asia,c2,11503,Toyota Innova 2.0 G1
Hyderabad,18012.28,2012,104000,Diesel,Manual,First,7.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c4,10534,Toyota Innova 2.5 VX 7 STR BSIV
Hyderabad,1992.85,2005,87591,Petrol,Manual,First,5.0,12.8,1086.0,63.0,Hyundai,Korea,Asia,c1,10534,Hyundai Santro Xing XL
Jaipur,5748.6,2012,95100,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c2,4107,Maruti Swift VDI
Pune,6898.32,2017,70000,Petrol,Manual,First,5.0,17.57,1193.0,88.7,Tata,India,Asia,c2,6987,Tata Zest Revotron 1.2T XE
Kochi,7388.87,2016,54944,Petrol,Manual,First,5.0,18.0,1198.0,86.7,Honda,Japan,Asia,c2,3301,Honda Amaze SX i-VTEC
Hyderabad,4292.29,2012,70337,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,10534,Ford Figo Diesel ZXI
Jaipur,4767.51,2013,99638,Diesel,Manual,First,5.0,23.2,1248.0,73.94,Maruti,India,Asia,c1,4107,Maruti Ritz VDi
Delhi,4982.12,2009,52000,Petrol,Manual,First,5.0,17.8,1497.0,117.3,Honda,Japan,Asia,c1,32066,Honda City i VTEC E
Delhi,21308.14,2011,75000,Diesel,Automatic,Second,5.0,16.73,1995.0,218.0,BMW,Germany,Europe,c4,32066,BMW 5 Series 2003-2012 525d
Pune,3449.16,2009,95980,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,6987,Hyundai i10 Sportz 1.2
Bangalore,8814.52,2016,16000,Petrol,Manual,First,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c2,13193,Hyundai Grand i10 Sportz
Hyderabad,3219.22,2007,73745,Petrol,Manual,First,5.0,17.0,1086.0,63.0,Hyundai,Korea,Asia,c1,10534,Hyundai Santro Xing XO
Mumbai,7664.8,2016,18949,Petrol,Manual,First,5.0,17.8,1198.0,86.7,Honda,Japan,Asia,c2,20961,Honda Amaze SX i-VTEC
Delhi,25293.84,2014,107000,Diesel,Manual,First,7.0,13.0,2982.0,168.5,Toyota,Japan,Asia,c4,32066,Toyota Fortuner 4x2 Manual
Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c5,2935,Audi A6 2011-2015 35 TDI Premium
Delhi,8431.28,2013,57000,Diesel,Manual,First,5.0,22.7,1498.0,89.84,Ford,USA,America,c2,32066,Ford Ecosport 1.5 DV5 MT Titanium Optional
Delhi,12416.98,2014,58000,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,32066,Mahindra XUV500 W8 2WD
Kolkata,5365.36,2015,30000,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c1,15134,Honda Amaze SX i-DTEC
Kolkata,4276.96,2013,34212,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c1,15134,Volkswagen Polo Diesel Highline 1.2L
Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,5.0,16.2,1493.0,110.0,Hyundai,Korea,Asia,c1,8450,Hyundai Verna Transform SX VGT CRDi
Bangalore,6821.67,2016,62000,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c2,13193,Maruti Wagon R VXI BS IV
Delhi,4062.34,2010,62001,Petrol,Manual,First,5.0,15.26,1598.0,103.5,Volkswagen,Germany,Europe,c1,32066,Volkswagen Polo Petrol Highline 1.6L
Pune,5825.25,2011,78958,Diesel,Manual,Second,5.0,23.0,1396.0,90.0,Hyundai,Korea,Asia,c2,6987,Hyundai i20 1.4 CRDi Sportz
Mumbai,7128.26,2014,30180,Petrol,Manual,First,5.0,18.5,1197.0,82.85,Hyundai,Korea,Asia,c2,20961,Hyundai i20 Asta 1.2
Pune,6055.19,2017,32851,Petrol,Manual,First,7.0,19.83,1198.0,67.0,Datsun,Japan,Asia,c2,6987,Datsun GO Plus T Petrol
Kolkata,15023.01,2010,30000,Diesel,Automatic,First,5.0,14.94,2967.0,241.4,Audi,Germany,Europe,c3,15134,Audi A4 3.0 TDI Quattro Premium
Pune,4138.99,2009,66000,Petrol,Manual,Second,5.0,17.0,1197.0,80.0,Hyundai,Korea,Asia,c1,6987,Hyundai i20 2015-2017 Asta
Coimbatore,3694.43,2010,93850,Petrol,Manual,First,5.0,14.0,796.0,35.0,Maruti,India,Asia,c1,2935,Maruti Omni 5 Str STD
Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,5.0,17.71,1197.0,78.9,Toyota,Japan,Asia,c2,8450,Toyota Etios Liva 1.2 G
Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,5.0,14.74,2993.0,270.9,Jaguar,UK,Europe,c5,10534,Jaguar XF 3.0 Litre S Premium Luxury
Delhi,8814.52,2012,65000,Diesel,Manual,Second,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c2,32066,Mahindra XUV500 W8 2WD
Kolkata,8048.04,2014,40000,Diesel,Automatic,First,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c2,15134,Hyundai Verna 1.6 SX CRDI (O) AT
Mumbai,29509.48,2017,30000,Diesel,Automatic,First,7.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,20961,Toyota Innova Crysta 2.8 ZX AT
Coimbatore,5993.87,2017,38053,Petrol,Manual,First,5.0,15.1,1196.0,73.0,Maruti,India,Asia,c2,2935,Maruti Eeco 5 Seater AC
Bangalore,3295.86,2014,25500,Petrol,Manual,First,4.0,25.4,624.0,37.5,Tata,India,Asia,c1,13193,Tata Nano Twist XT
Mumbai,31808.92,2015,56087,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c5,20961,BMW 3 Series 320d Luxury Line
Delhi,5135.42,2010,71088,Petrol,Manual,First,5.0,13.5,1799.0,130.0,Honda,Japan,Asia,c1,32066,Honda Civic 2006-2010 1.8 V MT
Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,7.0,12.99,2494.0,100.6,Toyota,Japan,Asia,c4,8450,Toyota Innova 2.5 VX (Diesel) 7 Seater
Bangalore,30659.2,2014,32700,Diesel,Automatic,First,5.0,23.3,1984.0,150.0,Volvo,Sweden,Europe,c4,13193,Volvo V40 Cross Country D3
Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,5.0,19.15,1198.0,75.94,Nissan,Japan,Asia,c3,2935,Nissan Micra XV CVT
Mumbai,10730.72,2009,128000,Petrol,Automatic,First,5.0,10.8,2497.0,215.0,BMW,Germany,Europe,c3,20961,BMW 5 Series 2010-2013 525i
Mumbai,11497.2,2016,55000,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,20961,Maruti Vitara Brezza VDi
Mumbai,1303.02,2005,102000,Petrol,Manual,Second,5.0,17.0,1086.0,62.1,Hyundai,Korea,Asia,c1,20961,Hyundai Santro Xing XL eRLX Euro III
Pune,25677.08,2014,53753,Diesel,Automatic,Second,5.0,15.0,2143.0,107.3,Mercedes-Benz,Germany,Europe,c4,6987,Mercedes-Benz B Class B200 CDI
Kolkata,16785.91,2018,10250,Diesel,Manual,First,5.0,22.0,1582.0,126.2,Hyundai,Korea,Asia,c4,15134,Hyundai Verna CRDi 1.6 SX Option
Pune,3755.75,2011,43874,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,6987,Maruti Wagon R LXI BS IV
Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,4.0,21.9,624.0,37.48,Tata,India,Asia,c1,2935,Tata Nano XTA
Kolkata,11880.44,2014,42000,Diesel,Manual,First,8.0,12.05,2179.0,120.0,Mahindra,India,Asia,c3,15134,Mahindra Scorpio VLX
Kolkata,14333.18,2009,28352,Petrol,Automatic,First,5.0,11.7,1796.0,178.0,Mercedes-Benz,Germany,Europe,c3,15134,Mercedes-Benz New C-Class 200 K AT
Pune,4982.12,2013,89900,CNG,Manual,First,5.0,26.6,998.0,58.16,Maruti,India,Asia,c1,6987,Maruti Wagon R LXI CNG
Bangalore,8048.04,2007,47700,Petrol,Manual,Second,5.0,10.8,2354.0,152.0,Honda,Japan,Asia,c2,13193,Honda CR-V 2.4 MT
Pune,11113.96,2015,55000,Diesel,Automatic,First,5.0,21.21,1498.0,103.2,Volkswagen,Germany,Europe,c3,6987,Volkswagen Vento 1.5 TDI Comfortline AT
Kochi,11451.21,2017,44285,Petrol,Manual,First,5.0,20.73,1373.0,91.1,Maruti,India,Asia,c3,3301,Maruti Ciaz VXi Plus
Jaipur,20311.72,2016,54000,Diesel,Automatic,First,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c4,4107,Mahindra XUV500 AT W10 FWD
Coimbatore,8906.5,2016,30232,Petrol,Manual,First,5.0,21.1,1197.0,85.8,Maruti,India,Asia,c3,2935,Maruti Ritz VXI ABS
Hyderabad,3985.7,2014,88500,Petrol,Manual,First,5.0,24.07,998.0,67.1,Maruti,India,Asia,c1,10534,Maruti Alto K10 VXI
Kolkata,82779.84,2017,13372,Petrol,Automatic,First,2.0,19.0,2996.0,362.07,Mercedes-Benz,Germany,Europe,c5,15134,Mercedes-Benz SLC 43 AMG
Kochi,17629.04,2019,12645,Petrol,Automatic,First,5.0,17.0,1591.0,121.3,Hyundai,Korea,Asia,c4,3301,Hyundai Verna VTVT 1.6 AT SX Plus
Chennai,2452.74,2010,94385,Petrol,Manual,Second,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,11503,Maruti Alto LXi BSIII
Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,5.0,20.58,1995.0,143.0,BMW,Germany,Europe,c4,2935,BMW 1 Series 118d Base
Mumbai,9197.76,2015,12000,Petrol,Automatic,First,5.0,19.0,1199.0,88.7,Honda,Japan,Asia,c3,20961,Honda Jazz 1.2 V CVT i VTEC
Delhi,6055.19,2012,88578,Petrol,Manual,First,5.0,13.5,1799.0,130.0,Honda,Japan,Asia,c2,32066,Honda Civic 2006-2010 1.8 V MT
Kochi,27516.63,2014,44965,Diesel,Automatic,First,5.0,19.27,2143.0,170.0,Mercedes-Benz,Germany,Europe,c4,3301,Mercedes-Benz New C-Class C 220 CDI Avantgarde
Kolkata,5671.95,2014,45044,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c2,15134,Honda Amaze SX i-DTEC
Kochi,8323.97,2016,34204,Petrol,Manual,First,5.0,22.0,1197.0,81.8,Maruti,India,Asia,c2,3301,Maruti Swift VVT VXI
Kochi,2560.04,2008,80759,Petrol,Manual,Third,5.0,17.0,1086.0,63.0,Hyundai,Korea,Asia,c1,3301,Hyundai Santro Xing XO eRLX Euro II
Coimbatore,20679.63,2012,91235,Diesel,Manual,First,7.0,11.5,2982.0,171.0,Toyota,Japan,Asia,c4,2935,Toyota Fortuner 3.0 Diesel
Pune,4368.94,2014,38800,Petrol,Manual,First,5.0,18.6,1199.0,76.8,Chevrolet,USA,America,c1,6987,Chevrolet Beat LT Option
Chennai,7281.56,2013,83000,Diesel,Manual,First,5.0,21.14,1498.0,103.52,Skoda,Germany,Europe,c2,11503,Skoda Rapid 1.5 TDI Elegance
Kochi,15176.3,2018,41283,Petrol,Manual,First,5.0,20.73,1373.0,91.1,Maruti,India,Asia,c3,3301,Maruti Ciaz 1.4 Alpha
Mumbai,56719.52,2013,23000,Petrol,Automatic,First,4.0,11.05,2894.0,444.0,Audi,Germany,Europe,c5,20961,Audi RS5 Coupe
Mumbai,40623.44,2014,48000,Diesel,Automatic,First,5.0,21.76,1995.0,190.0,BMW,Germany,Europe,c5,20961,BMW 3 Series Luxury Line
Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,5.0,17.11,1968.0,174.33,Audi,Germany,Europe,c5,2935,Audi A4 2.0 TDI 177 Bhp Premium Plus
Chennai,9581.0,2016,35000,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c3,11503,Maruti Swift VDI
Kolkata,45988.8,2010,35277,Petrol,Automatic,First,5.0,7.81,5461.0,362.9,Mercedes-Benz,Germany,Europe,c5,15134,Mercedes-Benz S Class 2005 2013 S 500
Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,5.0,21.66,1498.0,103.52,Skoda,Germany,Europe,c3,2935,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package
Pune,13030.16,2012,136997,Diesel,Automatic,First,5.0,17.2,1968.0,138.1,Skoda,Germany,Europe,c3,6987,Skoda Superb Elegance 2.0 TDI CR AT
Kochi,6484.42,2019,14322,Petrol,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c2,3301,Hyundai EON Magna Plus
Jaipur,5365.36,2012,65634,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c1,4107,Volkswagen Polo Diesel Trendline 1.2L
Kolkata,3832.4,2016,6000,Petrol,Manual,First,5.0,20.63,1198.0,67.06,Datsun,Japan,Asia,c1,15134,Datsun GO NXT
Kolkata,3663.77,2013,33280,Petrol,Manual,First,5.0,19.4,1198.0,86.8,Honda,Japan,Asia,c1,15134,Honda Brio S MT
Delhi,17245.8,2013,29000,Petrol,Automatic,First,5.0,14.8,1595.0,120.7,Mercedes-Benz,Germany,Europe,c4,32066,Mercedes-Benz B Class B180
Kochi,10899.35,2015,42831,Diesel,Manual,First,5.0,26.0,1498.0,98.6,Honda,Japan,Asia,c3,3301,Honda City i DTEC V
Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,7.0,12.99,2494.0,100.6,Toyota,Japan,Asia,c4,8450,Toyota Innova 2.5 G (Diesel) 7 Seater
Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,5.0,20.4,1197.0,81.8,Maruti,India,Asia,c3,8450,Maruti Swift VXI Optional
Mumbai,12110.38,2012,32792,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,20961,Mahindra XUV500 W8 2WD
Kochi,6775.68,2014,147898,Diesel,Manual,First,5.0,22.7,1498.0,89.84,Ford,USA,America,c2,3301,Ford Ecosport 1.5 DV5 MT Ambiente
Mumbai,20694.96,2012,131765,Diesel,Manual,First,7.0,13.0,2982.0,168.5,Toyota,Japan,Asia,c4,20961,Toyota Fortuner 4x2 Manual
Chennai,9581.0,2013,65000,Diesel,Automatic,First,5.0,21.5,1498.0,108.5,Volkswagen,Germany,Europe,c3,11503,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy
Jaipur,3219.22,2010,66123,Diesel,Manual,Second,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,4107,Ford Figo Diesel Titanium
