Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(km/L),Engine(CC),Power(bhp),Brand,Country,Continent,Price_Cat,City_population
Mumbai,22227.92,2008,73000,Petrol,Automatic,First,5.0,8.5,4806.0,500.0,Porsche,Germany,Europe,c4,20961
Mumbai,14793.06,2015,55729,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,20961
Kochi,5334.7,2012,45178,Petrol,Automatic,First,5.0,16.95,1197.0,78.9,Hyundai,Korea,Asia,c1,3301
Kochi,10608.08,2015,56066,Diesel,Manual,First,5.0,19.64,1461.0,108.5,Nissan,Japan,Asia,c3,3301
Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,5.0,16.5,1198.0,86.8,Honda,Japan,Asia,c3,2935
Delhi,45222.32,2014,56000,Diesel,Automatic,Second,5.0,18.53,1968.0,187.74,Audi,Germany,Europe,c5,32066
Jaipur,3065.92,2008,111111,Diesel,Manual,First,5.0,17.8,1399.0,67.04,Ford,USA,America,c1,4107
Chennai,6898.32,2006,230000,Petrol,Manual,Third,8.0,12.4,1998.0,132.0,Toyota,Japan,Asia,c2,11503
Hyderabad,18012.28,2012,104000,Diesel,Manual,First,7.0,12.8,2494.0,102.0,Toyota,Japan,Asia,c4,10534
Hyderabad,1992.85,2005,87591,Petrol,Manual,First,5.0,12.8,1086.0,63.0,Hyundai,Korea,Asia,c1,10534
Jaipur,5748.6,2012,95100,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c2,4107
Pune,6898.32,2017,70000,Petrol,Manual,First,5.0,17.57,1193.0,88.7,Tata,India,Asia,c2,6987
Kochi,7388.87,2016,54944,Petrol,Manual,First,5.0,18.0,1198.0,86.7,Honda,Japan,Asia,c2,3301
Hyderabad,4292.29,2012,70337,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,10534
Jaipur,4767.51,2013,99638,Diesel,Manual,First,5.0,23.2,1248.0,73.94,Maruti,India,Asia,c1,4107
Delhi,4982.12,2009,52000,Petrol,Manual,First,5.0,17.8,1497.0,117.3,Honda,Japan,Asia,c1,32066
Delhi,21308.14,2011,75000,Diesel,Automatic,Second,5.0,16.73,1995.0,218.0,BMW,Germany,Europe,c4,32066
Pune,3449.16,2009,95980,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,6987
Bangalore,8814.52,2016,16000,Petrol,Manual,First,5.0,18.9,1197.0,82.0,Hyundai,Korea,Asia,c2,13193
Hyderabad,3219.22,2007,73745,Petrol,Manual,First,5.0,17.0,1086.0,63.0,Hyundai,Korea,Asia,c1,10534
Mumbai,7664.8,2016,18949,Petrol,Manual,First,5.0,17.8,1198.0,86.7,Honda,Japan,Asia,c2,20961
Delhi,25293.84,2014,107000,Diesel,Manual,First,7.0,13.0,2982.0,168.5,Toyota,Japan,Asia,c4,32066
Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c5,2935
Delhi,8431.28,2013,57000,Diesel,Manual,First,5.0,22.7,1498.0,89.84,Ford,USA,America,c2,32066
Delhi,12416.98,2014,58000,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,32066
Kolkata,5365.36,2015,30000,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c1,15134
Kolkata,4276.96,2013,34212,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c1,15134
Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,5.0,16.2,1493.0,110.0,Hyundai,Korea,Asia,c1,8450
Bangalore,6821.67,2016,62000,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c2,13193
Delhi,4062.34,2010,62001,Petrol,Manual,First,5.0,15.26,1598.0,103.5,Volkswagen,Germany,Europe,c1,32066
Pune,5825.25,2011,78958,Diesel,Manual,Second,5.0,23.0,1396.0,90.0,Hyundai,Korea,Asia,c2,6987
Mumbai,7128.26,2014,30180,Petrol,Manual,First,5.0,18.5,1197.0,82.85,Hyundai,Korea,Asia,c2,20961
Pune,6055.19,2017,32851,Petrol,Manual,First,7.0,19.83,1198.0,67.0,Datsun,Japan,Asia,c2,6987
Kolkata,15023.01,2010,30000,Diesel,Automatic,First,5.0,14.94,2967.0,241.4,Audi,Germany,Europe,c3,15134
Pune,4138.99,2009,66000,Petrol,Manual,Second,5.0,17.0,1197.0,80.0,Hyundai,Korea,Asia,c1,6987
Coimbatore,3694.43,2010,93850,Petrol,Manual,First,5.0,14.0,796.0,35.0,Maruti,India,Asia,c1,2935
Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,5.0,17.71,1197.0,78.9,Toyota,Japan,Asia,c2,8450
Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,5.0,14.74,2993.0,270.9,Jaguar,UK,Europe,c5,10534
Delhi,8814.52,2012,65000,Diesel,Manual,Second,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c2,32066
Kolkata,8048.04,2014,40000,Diesel,Automatic,First,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c2,15134
Mumbai,29509.48,2017,30000,Diesel,Automatic,First,7.0,11.36,2755.0,171.5,Toyota,Japan,Asia,c4,20961
Coimbatore,5993.87,2017,38053,Petrol,Manual,First,5.0,15.1,1196.0,73.0,Maruti,India,Asia,c2,2935
Bangalore,3295.86,2014,25500,Petrol,Manual,First,4.0,25.4,624.0,37.5,Tata,India,Asia,c1,13193
Mumbai,31808.92,2015,56087,Diesel,Automatic,First,5.0,22.69,1995.0,190.0,BMW,Germany,Europe,c5,20961
Delhi,5135.42,2010,71088,Petrol,Manual,First,5.0,13.5,1799.0,130.0,Honda,Japan,Asia,c1,32066
Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,7.0,12.99,2494.0,100.6,Toyota,Japan,Asia,c4,8450
Bangalore,30659.2,2014,32700,Diesel,Automatic,First,5.0,23.3,1984.0,150.0,Volvo,Sweden,Europe,c4,13193
Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,5.0,19.15,1198.0,75.94,Nissan,Japan,Asia,c3,2935
Mumbai,10730.72,2009,128000,Petrol,Automatic,First,5.0,10.8,2497.0,215.0,BMW,Germany,Europe,c3,20961
Mumbai,11497.2,2016,55000,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,20961
Mumbai,1303.02,2005,102000,Petrol,Manual,Second,5.0,17.0,1086.0,62.1,Hyundai,Korea,Asia,c1,20961
Pune,25677.08,2014,53753,Diesel,Automatic,Second,5.0,15.0,2143.0,107.3,Mercedes-Benz,Germany,Europe,c4,6987
Kolkata,16785.91,2018,10250,Diesel,Manual,First,5.0,22.0,1582.0,126.2,Hyundai,Korea,Asia,c4,15134
Pune,3755.75,2011,43874,Petrol,Manual,First,5.0,18.9,998.0,67.1,Maruti,India,Asia,c1,6987
Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,4.0,21.9,624.0,37.48,Tata,India,Asia,c1,2935
Kolkata,11880.44,2014,42000,Diesel,Manual,First,8.0,12.05,2179.0,120.0,Mahindra,India,Asia,c3,15134
Kolkata,14333.18,2009,28352,Petrol,Automatic,First,5.0,11.7,1796.0,178.0,Mercedes-Benz,Germany,Europe,c3,15134
Pune,4982.12,2013,89900,CNG,Manual,First,5.0,26.6,998.0,58.16,Maruti,India,Asia,c1,6987
Bangalore,8048.04,2007,47700,Petrol,Manual,Second,5.0,10.8,2354.0,152.0,Honda,Japan,Asia,c2,13193
Pune,11113.96,2015,55000,Diesel,Automatic,First,5.0,21.21,1498.0,103.2,Volkswagen,Germany,Europe,c3,6987
Kochi,11451.21,2017,44285,Petrol,Manual,First,5.0,20.73,1373.0,91.1,Maruti,India,Asia,c3,3301
Jaipur,20311.72,2016,54000,Diesel,Automatic,First,7.0,16.0,2179.0,140.0,Mahindra,India,Asia,c4,4107
Coimbatore,8906.5,2016,30232,Petrol,Manual,First,5.0,21.1,1197.0,85.8,Maruti,India,Asia,c3,2935
Hyderabad,3985.7,2014,88500,Petrol,Manual,First,5.0,24.07,998.0,67.1,Maruti,India,Asia,c1,10534
Kolkata,82779.84,2017,13372,Petrol,Automatic,First,2.0,19.0,2996.0,362.07,Mercedes-Benz,Germany,Europe,c5,15134
Kochi,17629.04,2019,12645,Petrol,Automatic,First,5.0,17.0,1591.0,121.3,Hyundai,Korea,Asia,c4,3301
Chennai,2452.74,2010,94385,Petrol,Manual,Second,5.0,19.7,796.0,46.3,Maruti,India,Asia,c1,11503
Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,5.0,20.58,1995.0,143.0,BMW,Germany,Europe,c4,2935
Mumbai,9197.76,2015,12000,Petrol,Automatic,First,5.0,19.0,1199.0,88.7,Honda,Japan,Asia,c3,20961
Delhi,6055.19,2012,88578,Petrol,Manual,First,5.0,13.5,1799.0,130.0,Honda,Japan,Asia,c2,32066
Kochi,27516.63,2014,44965,Diesel,Automatic,First,5.0,19.27,2143.0,170.0,Mercedes-Benz,Germany,Europe,c4,3301
Kolkata,5671.95,2014,45044,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c2,15134
Kochi,8323.97,2016,34204,Petrol,Manual,First,5.0,22.0,1197.0,81.8,Maruti,India,Asia,c2,3301
Kochi,2560.04,2008,80759,Petrol,Manual,Third,5.0,17.0,1086.0,63.0,Hyundai,Korea,Asia,c1,3301
Coimbatore,20679.63,2012,91235,Diesel,Manual,First,7.0,11.5,2982.0,171.0,Toyota,Japan,Asia,c4,2935
Pune,4368.94,2014,38800,Petrol,Manual,First,5.0,18.6,1199.0,76.8,Chevrolet,USA,America,c1,6987
Chennai,7281.56,2013,83000,Diesel,Manual,First,5.0,21.14,1498.0,103.52,Skoda,Germany,Europe,c2,11503
Kochi,15176.3,2018,41283,Petrol,Manual,First,5.0,20.73,1373.0,91.1,Maruti,India,Asia,c3,3301
Mumbai,56719.52,2013,23000,Petrol,Automatic,First,4.0,11.05,2894.0,444.0,Audi,Germany,Europe,c5,20961
Mumbai,40623.44,2014,48000,Diesel,Automatic,First,5.0,21.76,1995.0,190.0,BMW,Germany,Europe,c5,20961
Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,5.0,17.11,1968.0,174.33,Audi,Germany,Europe,c5,2935
Chennai,9581.0,2016,35000,Diesel,Manual,First,5.0,22.9,1248.0,74.0,Maruti,India,Asia,c3,11503
Kolkata,45988.8,2010,35277,Petrol,Automatic,First,5.0,7.81,5461.0,362.9,Mercedes-Benz,Germany,Europe,c5,15134
Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,5.0,21.66,1498.0,103.52,Skoda,Germany,Europe,c3,2935
Pune,13030.16,2012,136997,Diesel,Automatic,First,5.0,17.2,1968.0,138.1,Skoda,Germany,Europe,c3,6987
Kochi,6484.42,2019,14322,Petrol,Manual,First,5.0,21.1,814.0,55.2,Hyundai,Korea,Asia,c2,3301
Jaipur,5365.36,2012,65634,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c1,4107
Kolkata,3832.4,2016,6000,Petrol,Manual,First,5.0,20.63,1198.0,67.06,Datsun,Japan,Asia,c1,15134
Kolkata,3663.77,2013,33280,Petrol,Manual,First,5.0,19.4,1198.0,86.8,Honda,Japan,Asia,c1,15134
Delhi,17245.8,2013,29000,Petrol,Automatic,First,5.0,14.8,1595.0,120.7,Mercedes-Benz,Germany,Europe,c4,32066
Kochi,10899.35,2015,42831,Diesel,Manual,First,5.0,26.0,1498.0,98.6,Honda,Japan,Asia,c3,3301
Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,7.0,12.99,2494.0,100.6,Toyota,Japan,Asia,c4,8450
Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,5.0,20.4,1197.0,81.8,Maruti,India,Asia,c3,8450
Mumbai,12110.38,2012,32792,Diesel,Manual,First,7.0,15.1,2179.0,140.0,Mahindra,India,Asia,c3,20961
Kochi,6775.68,2014,147898,Diesel,Manual,First,5.0,22.7,1498.0,89.84,Ford,USA,America,c2,3301
Mumbai,20694.96,2012,131765,Diesel,Manual,First,7.0,13.0,2982.0,168.5,Toyota,Japan,Asia,c4,20961
Chennai,9581.0,2013,65000,Diesel,Automatic,First,5.0,21.5,1498.0,108.5,Volkswagen,Germany,Europe,c3,11503
Jaipur,3219.22,2010,66123,Diesel,Manual,Second,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,4107
Mumbai,68983.2,2015,41000,Diesel,Automatic,First,5.0,15.3,2993.0,258.0,BMW,Germany,Europe,c5,20961
Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,5.0,19.27,2143.0,167.62,Mercedes-Benz,Germany,Europe,c5,2935
Bangalore,5595.3,2012,45000,Petrol,Manual,Second,5.0,19.4,1198.0,86.8,Honda,Japan,Asia,c2,13193
Delhi,4215.64,2013,60000,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c1,32066
Bangalore,65150.8,2016,44414,Diesel,Automatic,First,5.0,17.9,2143.0,170.0,Mercedes-Benz,Germany,Europe,c5,13193
Kolkata,9964.24,2019,1000,Petrol,Manual,First,5.0,18.9,1197.0,81.86,Hyundai,Korea,Asia,c3,15134
Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c4,20961
Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,5.0,14.4,1598.0,103.6,Volkswagen,Germany,Europe,c2,20961
Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,5.0,16.6,1998.0,112.0,Mini,Germany,Europe,c5,4107
Bangalore,12800.22,2014,29000,Diesel,Manual,First,5.0,22.54,1396.0,88.73,Hyundai,Korea,Asia,c3,13193
Mumbai,35181.43,2014,40000,Diesel,Automatic,First,5.0,17.68,1968.0,174.33,Audi,Germany,Europe,c5,20961
Jaipur,2299.44,2012,88000,Diesel,Manual,First,5.0,25.44,936.0,57.6,Chevrolet,USA,America,c1,4107
Kochi,10562.09,2012,53537,Petrol,Automatic,First,5.0,13.7,1798.0,157.75,Skoda,Germany,Europe,c3,3301
Chennai,2222.79,2006,216000,Diesel,Manual,Second,5.0,17.8,1399.0,68.0,Ford,USA,America,c1,11503
Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,5.0,22.48,1995.0,190.0,BMW,Germany,Europe,c5,10534
Jaipur,1916.2,2007,118500,Petrol,Manual,First,5.0,12.9,1598.0,102.5,Chevrolet,USA,America,c1,4107
Hyderabad,6438.43,2012,63000,Diesel,Manual,First,5.0,22.07,1199.0,73.9,Volkswagen,Germany,Europe,c2,10534
Mumbai,10347.48,2015,25000,Diesel,Manual,First,8.0,19.98,1461.0,108.5,Renault,France,Europe,c3,20961
Bangalore,49054.72,2014,37382,Diesel,Automatic,First,5.0,13.0,2143.0,201.1,Mercedes-Benz,Germany,Europe,c5,13193
Kochi,11497.2,2017,24773,Petrol,Manual,First,5.0,21.4,1197.0,83.1,Maruti,India,Asia,c3,3301
Delhi,7051.62,2012,62000,Diesel,Manual,First,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c2,32066
Kochi,6193.16,2017,52340,Petrol,Manual,First,5.0,19.81,1086.0,68.05,Hyundai,Korea,Asia,c2,3301
Kochi,15804.82,2016,56739,Diesel,Manual,First,7.0,15.4,1997.0,120.0,Mahindra,India,Asia,c3,3301
Coimbatore,85477.85,2018,36091,Diesel,Automatic,First,5.0,12.7,2179.0,187.7,Land-Rover,India,Asia,c5,2935
Chennai,3985.7,2010,120000,Diesel,Manual,First,5.0,20.0,1399.0,68.0,Ford,USA,America,c1,11503
Mumbai,13030.16,2016,33000,Diesel,Manual,First,7.0,25.47,1248.0,88.5,Maruti,India,Asia,c3,20961
Ahmedabad,4522.23,2007,60006,Petrol,Manual,First,5.0,17.8,1493.0,100.0,Honda,Japan,Asia,c1,8450
Kolkata,5365.36,2014,52000,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c1,15134
Jaipur,5442.01,2015,43571,Petrol,Manual,First,5.0,20.36,1197.0,78.9,Hyundai,Korea,Asia,c2,4107
Kolkata,4982.12,2013,50000,Diesel,Manual,First,5.0,25.8,1498.0,98.6,Honda,Japan,Asia,c1,15134
Hyderabad,6898.32,2008,113000,Diesel,Manual,First,5.0,17.5,1896.0,106.0,Skoda,Germany,Europe,c2,10534
Delhi,8201.34,2014,90000,Diesel,Manual,First,5.0,19.87,1461.0,83.8,Renault,France,Europe,c2,32066
Chennai,9964.24,2017,29000,Diesel,Manual,Second,7.0,17.45,1493.0,100.0,Mahindra,India,Asia,c3,11503
Mumbai,13796.64,2016,20000,Diesel,Manual,First,5.0,24.3,1248.0,88.5,Maruti,India,Asia,c3,20961
Kochi,9197.76,2016,61012,Petrol,Manual,First,5.0,18.6,1197.0,81.83,Hyundai,Korea,Asia,c3,3301
Jaipur,4215.64,2009,87459,Petrol,Manual,First,5.0,14.7,1390.0,85.0,Skoda,Germany,Europe,c1,4107
Pune,2299.44,2010,70500,Petrol,Manual,First,5.0,15.64,1193.0,64.1,Tata,India,Asia,c1,6987
Delhi,30505.9,2015,64103,Diesel,Automatic,First,5.0,15.73,1968.0,174.33,Audi,Germany,Europe,c4,32066
Mumbai,15329.6,2014,76000,Petrol,Automatic,First,5.0,14.7,1798.0,177.5,Skoda,Germany,Europe,c3,20961
Delhi,4598.88,2014,104000,Diesel,Manual,First,5.0,23.59,1364.0,67.06,Toyota,Japan,Asia,c1,32066
Kolkata,3234.55,2010,42001,Petrol,Manual,First,5.0,16.1,1298.0,87.0,Maruti,India,Asia,c1,15134
Kochi,18334.2,2014,37245,Petrol,Automatic,First,5.0,14.8,1595.0,120.7,Mercedes-Benz,Germany,Europe,c4,3301
Kolkata,4982.12,2013,45000,Diesel,Manual,First,5.0,27.4,1498.0,98.6,Honda,Japan,Asia,c1,15134
Jaipur,7281.56,2012,117837,Diesel,Manual,Second,5.0,22.32,1582.0,126.32,Hyundai,Korea,Asia,c2,4107
Mumbai,9121.11,2014,30000,Diesel,Manual,First,5.0,20.46,1461.0,83.8,Renault,France,Europe,c3,20961
Delhi,12493.62,2015,27057,Petrol,Manual,Second,5.0,15.29,1591.0,121.3,Hyundai,Korea,Asia,c3,32066
Mumbai,6469.09,2016,8500,Petrol,Automatic,First,5.0,20.51,998.0,67.0,Maruti,India,Asia,c2,20961
Kolkata,16096.08,2010,30500,Petrol,Automatic,First,5.0,11.74,1796.0,186.0,Mercedes-Benz,Germany,Europe,c4,15134
